party_id,time,level,job,spec,map,date,valid,spec_to_level,average_spec_to_level
298,오후 8:18,137,크루세이더,unknown,망둥어,2024-12-07,False,,35.442523907344
298,오후 8:18,129,크루세이더,unknown,망둥어,2024-12-07,False,,35.442523907344
300,오후 8:18,98,저격수,2500,와협,2024-12-07,True,25.510204081632654,23.21914787922896
301,오후 8:18,85,프리스트,unknown,,2024-12-07,False,,6.215757789824323
301,오후 8:18,89,허밋,unknown,,2024-12-07,False,,18.86360871563267
301,오후 8:18,107,허밋,unknown,,2024-12-07,False,,18.86360871563267
302,오후 8:18,90,저격수,unknown,붉켄,2024-12-07,False,,23.21914787922896
302,오후 8:18,121,프리스트,unknown,붉켄,2024-12-07,False,,6.215757789824323
303,오후 8:18,87,크루세이더,unknown,듀파,2024-12-07,False,,35.442523907344
303,오후 8:18,91,나이트,unknown,듀파,2024-12-07,False,,30.994444444444447
303,오후 8:18,,프리스트,552,듀파,2024-12-07,False,,6.215757789824323
305,오후 8:18,98,프리스트,unknown,,2024-12-07,False,,6.215757789824323
306,오후 8:18,100,썬콜,unknown,불어전,2024-12-07,False,,6.891684809695825
309,오후 8:18,137,레인저,unknown,와협,2024-12-07,False,,23.436526497299532
311,오후 8:18,125,프리스트,unknown,,2024-12-07,False,,6.215757789824323
311,오후 8:18,,프리스트,800,,2024-12-07,False,,6.215757789824323
315,오후 8:19,,저격수,3400,,2024-12-07,False,,23.21914787922896
316,오후 8:19,116,썬콜,unknown,,2024-12-07,False,,6.891684809695825
318,오후 8:19,,프리스트,826,불어전,2024-12-07,False,,6.215757789824323
320,오후 8:19,,저격수,2700,,2024-12-07,False,,23.21914787922896
324,오후 8:19,144,허밋,unknown,,2024-12-07,False,,18.86360871563267
324,오후 8:19,141,허밋,unknown,,2024-12-07,False,,18.86360871563267
326,오후 8:19,111,나이트,unknown,,2024-12-07,False,,30.994444444444447
327,오후 8:19,115,불독,unknown,,2024-12-07,False,,
328,오후 8:19,100,용기사,unknown,,2024-12-07,False,,37.91186019836644
328,오후 8:19,85,용기사,,,2024-12-07,True,,37.91186019836644
331,오후 8:19,123,용기사,4100,,2024-12-07,True,33.333333333333336,37.91186019836644
331,오후 8:19,109,용기사,4300,,2024-12-07,True,39.44954128440367,37.91186019836644
331,오후 8:19,,허밋,2100,,2024-12-07,False,,18.86360871563267
337,오후 8:20,127,프리스트,unknown,검켄,2024-12-07,False,,6.215757789824323
338,오후 8:20,106,크루세이더,unknown,불어전,2024-12-07,False,,35.442523907344
338,오후 8:20,144,저격수,unknown,불어전,2024-12-07,False,,23.21914787922896
339,오후 8:20,80,허밋,unknown,,2024-12-07,False,,18.86360871563267
342,오후 10:52,92,허밋,unknown,붉켄,2024-12-07,False,,18.86360871563267
342,오후 10:52,101,프리스트,unknown,붉켄,2024-12-07,False,,6.215757789824323
344,오후 10:52,,허밋,2971,,2024-12-07,False,,18.86360871563267
346,오후 10:52,121,허밋,unknown,,2024-12-07,False,,18.86360871563267
348,오후 10:52,102,레인저,unknown,듀파,2024-12-07,False,,23.436526497299532
348,오후 10:52,95,나이트,unknown,듀파,2024-12-07,False,,30.994444444444447
348,오후 10:52,95,크루세이더,,듀파,2024-12-07,True,,35.442523907344
349,오후 10:52,126,썬콜,unknown,갈림길,2024-12-07,False,,6.891684809695825
353,오후 10:52,,나이트,4200,불어전,2024-12-07,False,,30.994444444444447
355,오후 10:52,175,허밋,1750,,2024-12-07,True,10.0,18.86360871563267
356,오후 10:52,99,허밋,,오징어,2024-12-07,True,,18.86360871563267
358,오후 10:52,157,크루세이더,unknown,,2024-12-07,False,,35.442523907344
358,오후 10:52,123,크루세이더,unknown,,2024-12-07,False,,35.442523907344
